ts=107989 | bot=Hunterone | event=combat_enter | resource=focus | resource_pct=100
ts=107990 | bot=Mageone | event=combat_enter | resource=mana | resource_pct=100
ts=107990 | bot=Shamanone | event=combat_enter | resource=mana | resource_pct=100
ts=107990 | bot=Warlockone | event=combat_enter | resource=mana | resource_pct=100
ts=108236 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=691 | spell_name=Summon Felhunter | school=shadow | target=Warlockone | target_hp_pct=100 | bot_hp_pct=100 | resource_kind=mana | resource_pct=100 | result_code=53
ts=111245 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=691 | spell_name=Summon Felhunter | school=shadow | target=Warlockone | target_hp_pct=100 | bot_hp_pct=100 | resource_kind=mana | resource_pct=99 | result_code=255
ts=111542 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=53209 | spell_name=Chimera Shot | school=nature | target=Naz'jar Spiritmender | target_hp_pct=89 | bot_hp_pct=100 | resource_kind=focus | resource_pct=44 | result_code=255
ts=111634 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=10 | spell_name=Blizzard | school=frost | target=Naz'jar Spiritmender | target_hp_pct=89 | bot_hp_pct=100 | resource_kind=mana | resource_pct=98 | result_code=255
ts=111980 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=331 | spell_name=Healing Wave | school=nature | target=Warriorone | target_hp_pct=86 | bot_hp_pct=100 | resource_kind=mana | resource_pct=97 | result_code=255
ts=113041 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=2643 | spell_name=Multi-Shot | school=phys | target=Naz'jar Spiritmender | target_hp_pct=80 | bot_hp_pct=100 | resource_kind=focus | resource_pct=15 | result_code=255
ts=114554 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=56641 | spell_name=Steady Shot | school=phys | target=Naz'jar Spiritmender | target_hp_pct=72 | bot_hp_pct=100 | resource_kind=focus | resource_pct=22 | result_code=255
ts=114978 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=331 | spell_name=Healing Wave | school=nature | target=Warriorone | target_hp_pct=82 | bot_hp_pct=100 | resource_kind=mana | resource_pct=97 | result_code=255
ts=115742 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=48181 | spell_name=Haunt | school=shadow | target=Naz'jar Spiritmender | target_hp_pct=68 | bot_hp_pct=100 | resource_kind=mana | resource_pct=95 | result_code=255
ts=117243 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=603 | spell_name=Bane of Doom | school=shadow | target=Naz'jar Spiritmender | target_hp_pct=63 | bot_hp_pct=100 | resource_kind=mana | resource_pct=92 | result_code=255
ts=117555 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=2643 | spell_name=Multi-Shot | school=phys | target=Naz'jar Spiritmender | target_hp_pct=63 | bot_hp_pct=100 | resource_kind=focus | resource_pct=25 | result_code=255
ts=118745 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=172 | spell_name=Corruption | school=shadow | target=Naz'jar Spiritmender | target_hp_pct=55 | bot_hp_pct=100 | resource_kind=mana | resource_pct=91 | result_code=255
ts=119057 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=56641 | spell_name=Steady Shot | school=phys | target=Naz'jar Spiritmender | target_hp_pct=54 | bot_hp_pct=100 | resource_kind=focus | resource_pct=33 | result_code=255
ts=119153 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=44614 | spell_name=Frostfire Bolt | school=fire | target=Naz'jar Spiritmender | target_hp_pct=53 | bot_hp_pct=100 | resource_kind=mana | resource_pct=82 | result_code=255
ts=120258 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=30108 | spell_name=Unstable Affliction | school=shadow | target=Naz'jar Spiritmender | target_hp_pct=40 | bot_hp_pct=100 | resource_kind=mana | resource_pct=93 | result_code=255
ts=120648 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=10 | spell_name=Blizzard | school=frost | target=Naz'jar Spiritmender | target_hp_pct=40 | bot_hp_pct=100 | resource_kind=mana | resource_pct=83 | result_code=255
ts=120992 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=45297 | spell_name=Chain Lightning | school=nature | target=Naz'jar Spiritmender | target_hp_pct=38 | bot_hp_pct=100 | resource_kind=mana | resource_pct=97 | result_code=255
ts=121757 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=27243 | spell_name=Seed of Corruption | school=shadow | target=Naz'jar Spiritmender | target_hp_pct=27 | bot_hp_pct=100 | resource_kind=mana | resource_pct=90 | result_code=255
ts=122072 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=53209 | spell_name=Chimera Shot | school=nature | target=Naz'jar Spiritmender | target_hp_pct=26 | bot_hp_pct=100 | resource_kind=focus | resource_pct=15 | result_code=255
ts=122498 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=45297 | spell_name=Chain Lightning | school=nature | target=Naz'jar Spiritmender | target_hp_pct=21 | bot_hp_pct=100 | resource_kind=mana | resource_pct=98 | result_code=255
ts=123577 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=53351 | spell_name=Kill Shot | school=phys | target=Naz'jar Spiritmender | target_hp_pct=11 | bot_hp_pct=100 | resource_kind=focus | resource_pct=23 | result_code=255
ts=124001 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=61295 | spell_name=Riptide | school=nature | target=Warriorone | target_hp_pct=100 | bot_hp_pct=100 | resource_kind=mana | resource_pct=98 | result_code=255
ts=124770 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=48018 | spell_name=Demonic Circle: Summon | school=shadow | target=Warlockone | target_hp_pct=100 | bot_hp_pct=100 | resource_kind=mana | resource_pct=85 | result_code=255
ts=126274 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=1490 | spell_name=Curse of the Elements | school=shadow | target=Naz'jar Spiritmender | target_hp_pct=76 | bot_hp_pct=100 | resource_kind=mana | resource_pct=80 | result_code=255
ts=126584 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=2643 | spell_name=Multi-Shot | school=phys | target=Naz'jar Spiritmender | target_hp_pct=76 | bot_hp_pct=100 | resource_kind=focus | resource_pct=0 | result_code=255
ts=127769 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=48181 | spell_name=Haunt | school=shadow | target=Naz'jar Spiritmender | target_hp_pct=72 | bot_hp_pct=100 | resource_kind=mana | resource_pct=81 | result_code=255
ts=128085 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=56641 | spell_name=Steady Shot | school=phys | target=Naz'jar Spiritmender | target_hp_pct=71 | bot_hp_pct=100 | resource_kind=focus | resource_pct=7 | result_code=255
ts=128167 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=44614 | spell_name=Frostfire Bolt | school=fire | target=Naz'jar Spiritmender | target_hp_pct=71 | bot_hp_pct=100 | resource_kind=mana | resource_pct=73 | result_code=255
ts=128509 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=331 | spell_name=Healing Wave | school=nature | target=Warriorone | target_hp_pct=90 | bot_hp_pct=100 | resource_kind=mana | resource_pct=100 | result_code=255
ts=129278 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=603 | spell_name=Bane of Doom | school=shadow | target=Naz'jar Spiritmender | target_hp_pct=63 | bot_hp_pct=100 | resource_kind=mana | resource_pct=76 | result_code=255
ts=129666 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=10 | spell_name=Blizzard | school=frost | target=Naz'jar Spiritmender | target_hp_pct=59 | bot_hp_pct=100 | resource_kind=mana | resource_pct=74 | result_code=255
ts=130774 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=172 | spell_name=Corruption | school=shadow | target=Naz'jar Spiritmender | target_hp_pct=46 | bot_hp_pct=100 | resource_kind=mana | resource_pct=76 | result_code=255
ts=131086 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=56641 | spell_name=Steady Shot | school=phys | target=Naz'jar Spiritmender | target_hp_pct=44 | bot_hp_pct=100 | resource_kind=focus | resource_pct=30 | result_code=255
ts=131507 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=331 | spell_name=Healing Wave | school=nature | target=Warriorone | target_hp_pct=87 | bot_hp_pct=100 | resource_kind=mana | resource_pct=100 | result_code=255
ts=132274 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=30108 | spell_name=Unstable Affliction | school=shadow | target=Naz'jar Spiritmender | target_hp_pct=37 | bot_hp_pct=100 | resource_kind=mana | resource_pct=77 | result_code=255
ts=132667 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=10 | spell_name=Blizzard | school=frost | target=Naz'jar Spiritmender | target_hp_pct=37 | bot_hp_pct=100 | resource_kind=mana | resource_pct=61 | result_code=150
ts=132667 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=116 | spell_name=Frostbolt | school=frost | target=Naz'jar Spiritmender | target_hp_pct=37 | bot_hp_pct=100 | resource_kind=mana | resource_pct=61 | result_code=150
ts=133776 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=27243 | spell_name=Seed of Corruption | school=shadow | target=Naz'jar Spiritmender | target_hp_pct=27 | bot_hp_pct=100 | resource_kind=mana | resource_pct=74 | result_code=255
ts=134092 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=1978 | spell_name=Serpent Sting | school=nature | target=Naz'jar Spiritmender | target_hp_pct=27 | bot_hp_pct=100 | resource_kind=focus | resource_pct=29 | result_code=255
ts=134171 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=10 | spell_name=Blizzard | school=frost | target=Naz'jar Spiritmender | target_hp_pct=26 | bot_hp_pct=100 | resource_kind=mana | resource_pct=62 | result_code=150
ts=134172 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=116 | spell_name=Frostbolt | school=frost | target=Naz'jar Spiritmender | target_hp_pct=26 | bot_hp_pct=100 | resource_kind=mana | resource_pct=62 | result_code=150
ts=134514 | bot=Shamanone | spec=RestoShaman | tier_idx=-2 | tier_name=dispel | spell_id=51886 | spell_name=Cleanse Spirit | school=nature | target=Mageone | target_hp_pct=100 | bot_hp_pct=100 | resource_kind=mana | resource_pct=97 | result_code=255
ts=135604 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=2643 | spell_name=Multi-Shot | school=phys | target=Naz'jar Spiritmender | target_hp_pct=23 | bot_hp_pct=100 | resource_kind=focus | resource_pct=0 | result_code=255
ts=135685 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=10 | spell_name=Blizzard | school=frost | target=Naz'jar Spiritmender | target_hp_pct=23 | bot_hp_pct=100 | resource_kind=mana | resource_pct=63 | result_code=255
ts=136012 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=331 | spell_name=Healing Wave | school=nature | target=Warriorone | target_hp_pct=90 | bot_hp_pct=100 | resource_kind=mana | resource_pct=98 | result_code=255
ts=136782 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=172 | spell_name=Corruption | school=shadow | target=Naz'jar Spiritmender | target_hp_pct=11 | bot_hp_pct=100 | resource_kind=mana | resource_pct=68 | result_code=255
ts=137110 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=53351 | spell_name=Kill Shot | school=phys | target=Naz'jar Spiritmender | target_hp_pct=10 | bot_hp_pct=100 | resource_kind=focus | resource_pct=7 | result_code=255
ts=138282 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=1120 | spell_name=Drain Soul | school=shadow | target=Naz'jar Spiritmender | target_hp_pct=0 | bot_hp_pct=100 | resource_kind=mana | resource_pct=68 | result_code=255
ts=138607 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=56641 | spell_name=Steady Shot | school=phys | target=Naz'jar Invader | target_hp_pct=55 | bot_hp_pct=100 | resource_kind=focus | resource_pct=15 | result_code=255
ts=139014 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=61295 | spell_name=Riptide | school=nature | target=Warriorone | target_hp_pct=98 | bot_hp_pct=100 | resource_kind=mana | resource_pct=96 | result_code=255
ts=139781 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=1490 | spell_name=Curse of the Elements | school=shadow | target=Naz'jar Invader | target_hp_pct=55 | bot_hp_pct=100 | resource_kind=mana | resource_pct=64 | result_code=255
ts=140202 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=543 | spell_name=Mage Ward | school=arcane | target=Mageone | target_hp_pct=100 | bot_hp_pct=100 | resource_kind=mana | resource_pct=48 | result_code=255
ts=140527 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=45297 | spell_name=Chain Lightning | school=nature | target=Naz'jar Invader | target_hp_pct=43 | bot_hp_pct=100 | resource_kind=mana | resource_pct=97 | result_code=255
ts=141293 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=48181 | spell_name=Haunt | school=shadow | target=Naz'jar Invader | target_hp_pct=41 | bot_hp_pct=100 | resource_kind=mana | resource_pct=68 | result_code=255
ts=141618 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=34477 | spell_name=Misdirection | school=phys | target=Warriorone | target_hp_pct=93 | bot_hp_pct=100 | resource_kind=focus | resource_pct=36 | result_code=255
ts=141712 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=44614 | spell_name=Frostfire Bolt | school=fire | target=Naz'jar Invader | target_hp_pct=41 | bot_hp_pct=100 | resource_kind=mana | resource_pct=49 | result_code=136
ts=141712 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=10 | spell_name=Blizzard | school=frost | target=Naz'jar Invader | target_hp_pct=41 | bot_hp_pct=100 | resource_kind=mana | resource_pct=49 | result_code=255
ts=142025 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=45297 | spell_name=Chain Lightning | school=nature | target=Naz'jar Invader | target_hp_pct=36 | bot_hp_pct=100 | resource_kind=mana | resource_pct=98 | result_code=255
ts=142792 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=603 | spell_name=Bane of Doom | school=shadow | target=Naz'jar Invader | target_hp_pct=34 | bot_hp_pct=100 | resource_kind=mana | resource_pct=62 | result_code=255
ts=143116 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=2643 | spell_name=Multi-Shot | school=phys | target=Naz'jar Invader | target_hp_pct=34 | bot_hp_pct=100 | resource_kind=focus | resource_pct=7 | result_code=255
ts=144294 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=172 | spell_name=Corruption | school=shadow | target=Naz'jar Invader | target_hp_pct=27 | bot_hp_pct=100 | resource_kind=mana | resource_pct=62 | result_code=255
ts=144619 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=56641 | spell_name=Steady Shot | school=phys | target=Naz'jar Invader | target_hp_pct=26 | bot_hp_pct=100 | resource_kind=focus | resource_pct=15 | result_code=255
ts=145042 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=45297 | spell_name=Chain Lightning | school=nature | target=Naz'jar Invader | target_hp_pct=23 | bot_hp_pct=100 | resource_kind=mana | resource_pct=100 | result_code=255
ts=145791 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=30108 | spell_name=Unstable Affliction | school=shadow | target=Naz'jar Invader | target_hp_pct=17 | bot_hp_pct=100 | resource_kind=mana | resource_pct=62 | result_code=255
ts=146540 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=45297 | spell_name=Chain Lightning | school=nature | target=Naz'jar Invader | target_hp_pct=14 | bot_hp_pct=100 | resource_kind=mana | resource_pct=100 | result_code=255
ts=147293 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=27243 | spell_name=Seed of Corruption | school=shadow | target=Naz'jar Invader | target_hp_pct=6 | bot_hp_pct=100 | resource_kind=mana | resource_pct=61 | result_code=255
ts=147619 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=19434 | spell_name=Aimed Shot | school=phys | target=Naz'jar Invader | target_hp_pct=4 | bot_hp_pct=100 | resource_kind=focus | resource_pct=42 | result_code=87
ts=147619 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=53351 | spell_name=Kill Shot | school=phys | target=Naz'jar Invader | target_hp_pct=4 | bot_hp_pct=100 | resource_kind=focus | resource_pct=42 | result_code=255
ts=148042 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=45297 | spell_name=Chain Lightning | school=nature | target=Naz'jar Invader | target_hp_pct=22 | bot_hp_pct=100 | resource_kind=mana | resource_pct=100 | result_code=255
ts=148804 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=1490 | spell_name=Curse of the Elements | school=shadow | target=Naz'jar Invader | target_hp_pct=16 | bot_hp_pct=100 | resource_kind=mana | resource_pct=59 | result_code=255
ts=149119 | bot=Hunterone | spec=MmHunter | tier_idx=-1 | tier_name=maint | spell_id=19434 | spell_name=Aimed Shot | school=phys | target=Naz'jar Invader | target_hp_pct=15 | bot_hp_pct=100 | resource_kind=focus | resource_pct=49 | result_code=255
ts=149211 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=44614 | spell_name=Frostfire Bolt | school=fire | target=Naz'jar Invader | target_hp_pct=15 | bot_hp_pct=100 | resource_kind=mana | resource_pct=38 | result_code=136
ts=149211 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=116 | spell_name=Frostbolt | school=frost | target=Naz'jar Invader | target_hp_pct=15 | bot_hp_pct=100 | resource_kind=mana | resource_pct=38 | result_code=136
ts=149542 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=45297 | spell_name=Chain Lightning | school=nature | target=Naz'jar Invader | target_hp_pct=12 | bot_hp_pct=100 | resource_kind=mana | resource_pct=100 | result_code=255
ts=150302 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=603 | spell_name=Bane of Doom | school=shadow | target=Naz'jar Invader | target_hp_pct=12 | bot_hp_pct=100 | resource_kind=mana | resource_pct=57 | result_code=255
ts=150725 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=44614 | spell_name=Frostfire Bolt | school=fire | target=Naz'jar Invader | target_hp_pct=7 | bot_hp_pct=100 | resource_kind=mana | resource_pct=39 | result_code=136
ts=150726 | bot=Mageone | spec=FrostMage | tier_idx=-1 | tier_name=maint | spell_id=116 | spell_name=Frostbolt | school=frost | target=Naz'jar Invader | target_hp_pct=7 | bot_hp_pct=100 | resource_kind=mana | resource_pct=39 | result_code=136
ts=151056 | bot=Shamanone | spec=RestoShaman | tier_idx=-1 | tier_name=maint | spell_id=45297 | spell_name=Chain Lightning | school=nature | target=Naz'jar Invader | target_hp_pct=5 | bot_hp_pct=100 | resource_kind=mana | resource_pct=100 | result_code=255
ts=151812 | bot=Warlockone | spec=AffWarlock | tier_idx=-1 | tier_name=maint | spell_id=48181 | spell_name=Haunt | school=shadow | target=Naz'jar Invader | target_hp_pct=5 | bot_hp_pct=100 | resource_kind=mana | resource_pct=58 | result_code=255
ts=151863 | event=combat_leave | [Altbot] Hunterone — 43.9s | DPS 2068 | 22 casts (21 ok, 1 fail) | gcd~72% | top: Steady Shot(6) Multi-Shot(5) Kill Shot(3) | dmg 90701 | no-tier 0
ts=151863 | event=combat_leave | [Altbot] Mageone — 43.9s | DPS 3864 | 20 casts (10 ok, 10 fail) | gcd~34% | top: Blizzard(7) Frostfire Bolt(5) Frostbolt(4) | dmg 169493 | no-tier 4
ts=151863 | event=combat_leave | [Altbot] Shamanone — 43.9s | DPS 1096 | 20 casts (20 ok, 0 fail) | gcd~68% | top: Chain Lightning(10) Healing Wave(5) Riptide(3) | dmg 48092 | no-tier 0
ts=151863 | event=combat_leave | [Altbot] Warlockone — 43.9s | DPS 1013 | 27 casts (25 ok, 2 fail) | gcd~85% | top: Bane of Doom(4) Curse of the Elements(4) Haunt(4) | dmg 44417 | no-tier 0
